data_scale,i,yhat,loop,loop_time
0.1,1,2.3128452050680477,1,0.004981040954589844
0.1,2,2.667976325513264,2,0.0
0.1,3,2.616177563983598,3,0.0
0.1,4,2.6522460470448004,4,0.0
0.1,5,2.8304212607399104,5,0.0
0.1,6,2.732504566019753,6,0.0
0.1,7,2.525293642970154,7,0.0
0.1,8,2.4245166489755405,8,0.0
0.2,1,0.7995982974774714,1,0.003990650177001953
0.2,2,1.1643978798542902,2,0.0
0.2,3,1.4057921159479196,3,0.0
0.2,4,1.1993068176021742,4,0.0
0.2,5,1.4441696512924123,5,0.0
0.2,6,1.3637028678717718,6,0.0
0.2,7,0.8696324121274225,7,0.0
0.2,8,1.1477252883509086,8,0.0
0.3,1,3.927755914868458,1,0.004960775375366211
0.3,2,4.774786029727428,2,0.0
0.3,3,5.010960500728539,3,0.0
0.3,4,4.792715038788643,4,0.0
0.3,5,5.149199797743577,5,0.0
0.3,6,5.021578456249972,6,0.0
0.3,7,4.372436865757345,7,0.0
0.3,8,4.4555269168353675,8,0.0009970664978027344
0.4,1,1.1449082083268194,1,0.003964424133300781
0.4,2,1.8894735846950215,2,0.0
0.4,3,2.4598490031870233,3,0.0
0.4,4,1.9632043893860613,4,0.0
0.4,5,2.411449128521371,5,0.0
0.4,6,2.290043748680393,6,0.0
0.4,7,1.3364893546120156,7,0.0
0.4,8,1.8886317376814703,8,0.0
0.5,1,3.2958251506743084,1,0.005008697509765625
0.5,2,4.31881653144043,2,0.0
0.5,3,4.776526704323325,3,0.0
0.5,4,4.379880761479482,4,0.0
0.5,5,5.050239808895468,5,0.0
0.5,6,4.788952943865551,6,0.0009980201721191406
0.5,7,3.5665718029177684,7,0.0
0.5,8,4.119496204458277,8,0.0
0.6,1,-6.627482340082798,1,0.003965854644775391
0.6,2,-6.261753204547284,2,0.0
0.6,3,-4.603692803999895,3,0.0
0.6,4,-6.07529423450174,4,0.0009975433349609375
0.6,5,-5.503544425869769,5,0.0
0.6,6,-5.530068223035878,6,0.0
0.6,7,-6.890448217824195,7,0.0
0.6,8,-5.556811885574698,8,0.0
0.7,1,7.859059470576139,1,0.005004405975341797
0.7,2,9.952903252840441,2,0.0009791851043701172
0.7,3,10.362678091462396,3,0.0
0.7,4,9.98686164320519,4,0.0
0.7,5,10.822028587153579,5,0.0
0.7,6,10.499085644808664,6,0.0
0.7,7,8.889986965373046,7,0.0009980201721191406
0.7,8,9.234353907702388,8,0.0
0.8,1,9.6834362371802,1,0.005012035369873047
0.8,2,12.267317561494345,2,0.0
0.8,3,12.761451209793789,3,0.0009722709655761719
0.8,4,12.310558380062515,4,0.0
0.8,5,13.174222535460986,5,0.0
0.8,6,12.865112018424849,6,0.0
0.8,7,11.065895446458093,7,0.0
0.8,8,11.417913980740478,8,0.0
0.9,1,8.3461650309686,1,0.0050144195556640625
0.9,2,10.881663552581902,2,0.0
0.9,3,11.789990792377386,3,0.0
0.9,4,10.971312904949913,4,0.0
0.9,5,11.906241918768298,5,0.0
0.9,6,11.625108853949893,6,0.0
0.9,7,9.633360776289802,7,0.0
0.9,8,10.244644772935642,8,0.0009963512420654297
1.0,1,-0.7386295546933304,1,0.0059587955474853516
1.0,2,0.35995979852924087,2,0.0
1.0,3,2.399230875971481,3,0.0
1.0,4,0.5678252785067883,4,0.0
1.0,5,1.7670744638792615,5,0.0
1.0,6,1.4934822959392577,6,0.0
1.0,7,-0.6834567378119618,7,0.0
1.0,8,0.5906277177779984,8,0.0009982585906982422
1.1,1,-9.444717659120156,1,0.004969596862792969
1.1,2,-9.967841146837145,2,0.0
1.1,3,-6.656132337431766,3,0.0
1.1,4,-9.669003675753503,4,0.000986337661743164
1.1,5,-8.143679873816103,5,0.0
1.1,6,-8.435511316604329,6,0.0
1.1,7,-10.678692896472894,7,0.0
1.1,8,-9.068851242457514,8,0.0
1.2,1,17.643595973186557,1,0.004986763000488281
1.2,2,22.121638264691732,2,0.000997781753540039
1.2,3,22.893560491569673,3,0.0
1.2,4,22.208195265418748,4,0.0
1.2,5,23.228982712080434,5,0.0009965896606445312
1.2,6,22.926984000013263,6,0.0
1.2,7,20.277316499851963,7,0.0
1.2,8,20.95004333804287,8,0.0
1.3,1,13.566770943293575,1,0.00498509407043457
1.3,2,17.96278382157466,2,0.0
1.3,3,18.964065955833423,3,0.0
1.3,4,18.073477143766283,4,0.0
1.3,5,19.25944144982254,5,0.000997781753540039
1.3,6,18.907960772640457,6,0.0
1.3,7,15.968291128558569,7,0.0
1.3,8,16.893099751273486,8,0.0
1.4,1,6.4125407799425815,1,0.005984783172607422
1.4,2,9.189883814027464,2,0.0
1.4,3,11.240570550578235,3,0.0
1.4,4,9.391306360892894,4,0.0
1.4,5,10.993396400242396,5,0.0
1.4,6,10.551965489485935,6,0.0
1.4,7,7.479538852714807,7,0.0
1.4,8,8.746635771763021,8,0.0
1.5,1,16.796156565913858,1,0.005984306335449219
1.5,2,22.247182154863637,2,0.0
1.5,3,23.344406745036018,3,0.0
1.5,4,22.376998493570515,4,0.0
1.5,5,23.618718921037967,5,0.0
1.5,6,23.276913935604863,6,0.0
1.5,7,19.902885219508537,7,0.0
1.5,8,21.014040309288404,8,0.0
1.6,1,15.234637938203974,1,0.00498652458190918
1.6,2,20.068284825157818,2,0.0009970664978027344
1.6,3,21.789849209376257,3,0.0
1.6,4,20.244645540822816,4,0.0
1.6,5,21.718755450479424,5,0.0
1.6,6,21.335410023571445,6,0.0
1.6,7,17.84068137100663,7,0.0
1.6,8,19.069162188328022,8,0.0
1.7,1,29.806156179977307,1,0.0049877166748046875
1.7,2,39.90098078672878,2,0.0
1.7,3,39.56700930593069,3,0.0
1.7,4,39.957236545762285,4,0.0
1.7,5,40.50226283237721,5,0.0
1.7,6,40.40526741952743,6,0.0
1.7,7,36.425733481575165,7,0.0
1.7,8,37.70446252182846,8,0.0
1.8,1,2.841212060821464,1,0.004986763000488281
1.8,2,5.681805221170228,2,0.0
1.8,3,8.827975777066785,3,0.0
1.8,4,5.946807395517368,4,0.0
1.8,5,8.10232508263676,5,0.0
1.8,6,7.536529023926616,6,0.0
1.8,7,3.753306027006391,7,0.0
1.8,8,5.139496641511628,8,0.0
1.9,1,18.48655666163489,1,0.004987001419067383
1.9,2,24.907535737380666,2,0.0
1.9,3,26.6498885489883,3,0.0
1.9,4,25.105592748296644,4,0.0
1.9,5,26.70327633554709,5,0.0
1.9,6,26.298194606875185,6,0.0
1.9,7,22.07059246197439,7,0.0
1.9,8,23.64152594305065,8,0.0
2.0,1,42.77841786464432,1,0.004981279373168945
2.0,2,59.9133390340893,2,0.0
2.0,3,57.576159966647126,3,0.0
2.0,4,59.908419181693816,4,0.0
2.0,5,59.263973930584385,5,0.000997781753540039
2.0,6,59.63276884110282,6,0.0
2.0,7,54.67205871247437,7,0.0
2.0,8,56.76631375197245,8,0.0
2.1,1,47.99279100646551,1,0.006981849670410156
2.1,2,68.10187454844603,2,0.0
2.1,3,64.8637010880675,3,0.0
2.1,4,68.07290879867762,4,0.000993490219116211
2.1,5,66.87666431829562,5,0.0
2.1,6,67.45946759377705,6,0.0
2.1,7,62.13159432609832,7,0.0
2.1,8,64.62322916706651,8,0.0
2.2,1,10.337594352412763,1,0.007992029190063477
2.2,2,14.633728229338207,2,0.00098419189453125
2.2,3,18.00478139816195,3,0.0
2.2,4,14.933729281091907,4,0.0
2.2,5,17.450646901742882,5,0.0
2.2,6,16.770852294665488,6,0.0010051727294921875
2.2,7,12.072495356264234,7,0.0
2.2,8,13.762532629498033,8,0.0
2.3,1,57.66907834406071,1,0.00698089599609375
2.3,2,71.21495439731825,2,0.0
2.3,3,71.08478127135791,3,0.0
2.3,4,71.36965332058452,4,0.0009958744049072266
2.3,5,71.9769028793423,5,0.0
2.3,6,71.95744940037923,6,0.0
2.3,7,66.6036173118429,7,0.0009982585906982422
2.3,8,68.9919356840124,8,0.0
2.4,1,2.07279613206833,1,0.004986286163330078
2.4,2,4.584649617665029,2,0.0
2.4,3,9.259958502451092,3,0.0009965896606445312
2.4,4,4.9445285646615655,4,0.0
2.4,5,8.143323709276572,5,0.0
2.4,6,7.263830158424035,6,0.0009975433349609375
2.4,7,2.3362873265712114,7,0.0
